DATETIME,OPEN,HIGH,LOW,CLOSE
2014-07-03-17:00,1.358530574,1.365323227,1.351737921,1.358530574
2014-07-03-18:00,1.358721789,1.365515398,1.35192818,1.358721789
2014-07-03-19:00,1.358912945,1.365707509,1.35211838,1.358912945
2014-07-03-20:00,1.359104041,1.365899562,1.352308521,1.359104041
2014-07-03-21:00,1.359295079,1.366091554,1.352498604,1.359295079
2014-07-03-22:00,1.359486057,1.366283488,1.352688627,1.359486057
2014-07-03-23:00,1.359676976,1.366475361,1.352878592,1.359676976
2014-07-04-00:00,1.359867836,1.366667175,1.353068496,1.359867836
2014-07-04-01:00,1.360058635,1.366858928,1.353258342,1.360058635
2014-07-04-02:00,1.360249374,1.367050621,1.353448127,1.360249374
2014-07-04-03:00,1.360440053,1.367242254,1.353637853,1.360440053
2014-07-04-04:00,1.360630672,1.367433825,1.353827519,1.360630672
2014-07-04-05:00,1.36082123,1.367625336,1.354017124,1.36082123
2014-07-04-06:00,1.361011727,1.367816786,1.354206669,1.361011727
2014-07-04-07:00,1.361202163,1.368008174,1.354396153,1.361202163
2014-07-04-08:00,1.361392538,1.368199501,1.354585576,1.361392538
2014-07-04-09:00,1.361582852,1.368390766,1.354774938,1.361582852
2014-07-04-10:00,1.361773104,1.36858197,1.354964238,1.361773104
2014-07-04-11:00,1.361963294,1.368773111,1.355153478,1.361963294
2014-07-04-12:00,1.362153423,1.36896419,1.355342655,1.362153423
2014-07-04-13:00,1.362343489,1.369155206,1.355531771,1.362343489
2014-07-04-14:00,1.362533492,1.36934616,1.355720825,1.362533492
2014-07-04-15:00,1.362723434,1.369537051,1.355909816,1.362723434
2014-07-04-16:00,1.362913312,1.369727879,1.356098746,1.362913312
2014-07-06-17:00,1.363103128,1.369918643,1.356287612,1.363103128
2014-07-06-18:00,1.36329288,1.370109345,1.356476416,1.36329288
2014-07-06-19:00,1.363482569,1.370299982,1.356665157,1.363482569
2014-07-06-20:00,1.363672195,1.370490556,1.356853834,1.363672195
2014-07-06-21:00,1.363861757,1.370681066,1.357042448,1.363861757
2014-07-06-22:00,1.364051255,1.370871512,1.357230999,1.364051255
2014-07-06-23:00,1.364240689,1.371061893,1.357419486,1.364240689
2014-07-07-00:00,1.364430059,1.37125221,1.357607909,1.364430059
2014-07-07-01:00,1.364619365,1.371442462,1.357796268,1.364619365
2014-07-07-02:00,1.364808606,1.371632649,1.357984563,1.364808606
2014-07-07-03:00,1.364997782,1.371822771,1.358172793,1.364997782
2014-07-07-04:00,1.365186893,1.372012827,1.358360958,1.365186893
2014-07-07-05:00,1.365375939,1.372202818,1.358549059,1.365375939
2014-07-07-06:00,1.365564919,1.372392744,1.358737094,1.365564919
2014-07-07-07:00,1.365753834,1.372582603,1.358925065,1.365753834
2014-07-07-08:00,1.365942683,1.372772397,1.35911297,1.365942683
2014-07-07-09:00,1.366131466,1.372962124,1.359300809,1.366131466
2014-07-07-10:00,1.366320183,1.373151784,1.359488583,1.366320183
2014-07-07-11:00,1.366508834,1.373341378,1.35967629,1.366508834
2014-07-07-12:00,1.366697418,1.373530906,1.359863931,1.366697418
2014-07-07-13:00,1.366885936,1.373720366,1.360051506,1.366885936
2014-07-07-14:00,1.367074387,1.373909759,1.360239015,1.367074387
2014-07-07-15:00,1.36726277,1.374099084,1.360426456,1.36726277
2014-07-07-16:00,1.367451087,1.374288342,1.360613831,1.367451087
2014-07-07-17:00,1.367639335,1.374477532,1.360801139,1.367639335
2014-07-07-18:00,1.367827517,1.374666654,1.360988379,1.367827517
2014-07-07-19:00,1.36801563,1.374855708,1.361175552,1.36801563
2014-07-07-20:00,1.368203675,1.375044694,1.361362657,1.368203675
2014-07-07-21:00,1.368391653,1.375233611,1.361549694,1.368391653
2014-07-07-22:00,1.368579561,1.375422459,1.361736664,1.368579561
2014-07-07-23:00,1.368767402,1.375611239,1.361923565,1.368767402
2014-07-08-00:00,1.368955173,1.375799949,1.362110397,1.368955173
2014-07-08-01:00,1.369142876,1.37598859,1.362297161,1.369142876
2014-07-08-02:00,1.369330509,1.376177162,1.362483856,1.369330509
2014-07-08-03:00,1.369518073,1.376365663,1.362670483,1.369518073
2014-07-08-04:00,1.369705568,1.376554095,1.36285704,1.369705568
2014-07-08-05:00,1.369892992,1.376742457,1.363043527,1.369892992
2014-07-08-06:00,1.370080347,1.376930749,1.363229946,1.370080347
2014-07-08-07:00,1.370267632,1.37711897,1.363416294,1.370267632
2014-07-08-08:00,1.370454847,1.377307121,1.363602572,1.370454847
2014-07-08-09:00,1.370641991,1.377495201,1.363788781,1.370641991
2014-07-08-10:00,1.370829064,1.37768321,1.363974919,1.370829064
2014-07-08-11:00,1.371016067,1.377871147,1.364160987,1.371016067
2014-07-08-12:00,1.371202998,1.378059013,1.364346983,1.371202998
2014-07-08-13:00,1.371389859,1.378246808,1.36453291,1.371389859
2014-07-08-14:00,1.371576648,1.378434531,1.364718765,1.371576648
2014-07-08-15:00,1.371763365,1.378622182,1.364904549,1.371763365
2014-07-08-16:00,1.371950011,1.378809761,1.365090261,1.371950011
2014-07-08-17:00,1.372136585,1.378997268,1.365275902,1.372136585
2014-07-08-18:00,1.372323086,1.379184702,1.365461471,1.372323086
2014-07-08-19:00,1.372509516,1.379372063,1.365646968,1.372509516
2014-07-08-20:00,1.372695872,1.379559352,1.365832393,1.372695872
2014-07-08-21:00,1.372882157,1.379746567,1.366017746,1.372882157
2014-07-08-22:00,1.373068368,1.37993371,1.366203026,1.373068368
2014-07-08-23:00,1.373254506,1.380120778,1.366388233,1.373254506
2014-07-09-00:00,1.373440571,1.380307774,1.366573368,1.373440571
2014-07-09-01:00,1.373626562,1.380494695,1.366758429,1.373626562
2014-07-09-02:00,1.37381248,1.380681542,1.366943418,1.37381248
2014-07-09-03:00,1.373998324,1.380868316,1.367128332,1.373998324
2014-07-09-04:00,1.374184094,1.381055014,1.367313173,1.374184094
2014-07-09-05:00,1.37436979,1.381241639,1.367497941,1.37436979
2014-07-09-06:00,1.374555411,1.381428188,1.367682634,1.374555411
2014-07-09-07:00,1.374740958,1.381614663,1.367867253,1.374740958
2014-07-09-08:00,1.37492643,1.381801062,1.368051798,1.37492643
2014-07-09-09:00,1.375111827,1.381987386,1.368236268,1.375111827
2014-07-09-10:00,1.375297149,1.382173635,1.368420664,1.375297149
2014-07-09-11:00,1.375482396,1.382359808,1.368604984,1.375482396
2014-07-09-12:00,1.375667568,1.382545905,1.36878923,1.375667568
2014-07-09-13:00,1.375852663,1.382731927,1.3689734,1.375852663
2014-07-09-14:00,1.376037683,1.382917871,1.369157495,1.376037683
2014-07-09-15:00,1.376222627,1.38310374,1.369341514,1.376222627
2014-07-09-16:00,1.376407494,1.383289532,1.369525457,1.376407494
2014-07-09-17:00,1.376592285,1.383475247,1.369709324,1.376592285
2014-07-09-18:00,1.376777,1.383660885,1.369893115,1.376777
2014-07-09-19:00,1.376961638,1.383846446,1.37007683,1.376961638
2014-07-09-20:00,1.377146199,1.38403193,1.370260468,1.377146199
2014-07-09-21:00,1.377330682,1.384217336,1.370444029,1.377330682
